Name,Possible Value,Unit,Range,Description
AHRS_TRIM_X,0.0004882812,Radians,-0.1745 +0.1745,Compensates for the roll angle difference between the control board and the frame. Positive values make the vehicle roll right.
AHRS_TRIM_Y,0.02518386,Radians,-0.1745 +0.1745,Compensates for the pitch angle difference between the control board and the frame. Positive values make the vehicle pitch up/back.
AHRS_TRIM_Z,0,Radians,-0.1745 +0.1745,Not Used
AHRS_WIND_MAX,0,m/s,0 127,This sets the maximum allowable difference between ground speed and airspeed. This allows the plane to cope with a failing airspeed sensor. A value of zero means to use the airspeed as is.
AHRS_YAW_P,0.1,,0.1 0.4,This controls the weight the compass or GPS has on the heading. A higher value means the heading will track the yaw source (GPS or compass) more rapidly.
ANGLE_MAX,4500,Centi-degrees,1000 8000,Maximum lean angle in all flight modes
ARMING_CHECK,94,,"0:Disabled 1:Enabled -3:Skip Baro -5:Skip Compass -9:Skip GPS -17:Skip INS -33:Skip Params/Rangefinder -65:Skip RC 127:Skip Voltage","Allows enabling or disabling of pre-arming checks of receiver, accelerometer, barometer, compass and GPS"
ATC_ACCEL_RP_MAX,0,,,Coming soon
ATC_ACCEL_Y_MAX,0,Centi-Degrees/Sec/Sec,0 720000:Disabled 18000:Slow 36000:Medium 54000:Fast,Maximum acceleration in yaw axis
ATC_RATE_FF_ENAB,0,,0:Disabled 1:Enabled,Controls whether body-frame rate feedforward is enabled or disabled
ATC_RATE_RP_MAX,18000,,,Coming soon
ATC_RATE_Y_MAX,9000,,,Coming soon
ATC_SLEW_YAW,1000,Centi-Degrees/Sec,500 18000,"Maximum rate the yaw target can be updated in Loiter, RTL, Auto flight modes"
BAROGLTCH_ACCEL,1500,,,Coming soon
BAROGLTCH_DIST,500,,,Coming soon
BAROGLTCH_ENABLE,1,,,Coming soon
BATT_AMP_OFFSET,0,Volts,,Voltage offset at zero current on current sensor
BATT_AMP_PERVOLT,17,Amps/Volt,,Number of amps that a 1V reading on the current sensor corresponds to. On the APM2 or Pixhawk using the 3DR Power brick this should be set to 17. For the Pixhawk with the 3DR 4in1 ESC this should be 17.
BATT_CAPACITY,4000,mAh,,Capacity of the battery in mAh when full
BATT_CURR_PIN,3,,-1:Disabled 1:A1 2:A2 3:Pixhawk 12:A12 101:PX4,Setting this to 0 ~ 13 will enable battery current sensing on pins A0 ~ A13. For the 3DR power brick on APM2.5 it should be set to 12. On the PX4 it should be set to 101. On the Pixhawk powered from the PM connector it should be set to 3.
BATT_MONITOR,4,,0:Disabled 3:Analog Voltage Only 4:Analog Voltage and Current 5:SMBus 6:Bebop,Controls enabling monitoring of the battery's voltage and current
BATT_VOLT_MULT,10.1,,,"Used to convert the voltage of the voltage sensing pin (BATT_VOLT_PIN) to the actual battery's voltage (pin_voltage * VOLT_MULT). For the 3DR Power brick on APM2 or Pixhawk, this should be set to 10.1. For the Pixhawk with the 3DR 4in1 ESC this should be 12.02. For the PX4 using the PX4IO power supply this should be set to 1."
BATT_VOLT_PIN,2,,-1:Disabled 0:A0 1:A1 2:Pixhawk 13:A13 100:PX4,Setting this to 0 ~ 13 will enable battery voltage sensing on pins A0 ~ A13. For the 3DR power brick on APM2.5 it should be set to 13. On the PX4 it should be set to 100. On the Pixhawk powered from the PM connector it should be set to 2.
BATT_VOLT2_MULT,1,,,Coming soon
BATT_VOLT2_PIN,-1,,,Coming soon
CAM_DURATION,10,seconds,0 50,"How long the shutter will be held open in 10ths of a second (i.e. enter 10 for 1second, 50 for 5seconds)"
CAM_SERVO_OFF,1100,pwm,1000 2000,PWM value to move servo to when shutter is deactivated
CAM_SERVO_ON,1300,pwm,1000 2000,PWM value to move servo to when shutter is activated
CAM_TRIGG_DIST,0,meters,0 1000,"Distance in meters between camera triggers. If this value is non-zero then the camera will trigger whenever the GPS position changes by this number of meters regardless of what mode the APM is in. Note that this parameter can also be set in an auto mission using the DO_SET_CAM_TRIGG_DIST command, allowing you to enable/disable the triggering of the camera during the flight."
CAM_TRIGG_TYPE,0,,0:Servo 1:Relay,how to trigger the camera to take a picture
CH7_OPT,17,,0:Do Nothing 2:Flip 3:Simple Mode 4:RTL 5:Save Trim 7:Save WP 9:Camera Trigger 10:RangeFinder 11:Fence 13:Super Simple Mode 14:Acro Trainer 15:Sprayer 16:Auto 17:AutoTune 18:Land 19:EPM 21:Parachute Enable 22:Parachute Release 23:Parachute 3pos 24:Auto Mission Reset 25:AttCon Feed Forward 26:AttCon Accel Limits 27:Retract Mount 28:Relay On/Off 34:Relay2 On/Off 35:Relay3 On/Off 36:Relay4 On/Off 29:Landing Gear 30:Lost Copter Sound 31:Motor Emergency Stop 32:Motor Interlock 33:Brake 37:Throw 38:Avoidance,Select which function is performed when CH7 is above 1800 pwm
CH8_OPT,0,,0:Do Nothing 2:Flip 3:Simple Mode 4:RTL 5:Save Trim 7:Save WP 9:Camera Trigger 10:RangeFinder 11:Fence 13:Super Simple Mode 14:Acro Trainer 15:Sprayer 16:Auto 17:AutoTune 18:Land 19:EPM 21:Parachute Enable 22:Parachute Release 23:Parachute 3pos 24:Auto Mission Reset 25:AttCon Feed Forward 26:AttCon Accel Limits 27:Retract Mount 28:Relay On/Off 34:Relay2 On/Off 35:Relay3 On/Off 36:Relay4 On/Off 29:Landing Gear 30:Lost Copter Sound 31:Motor Emergency Stop 32:Motor Interlock 33:Brake 37:Throw 38:Avoidance,Select which function is performed when CH8 is above 1800 pwm
CIRCLE_RADIUS,500,cm,0 10000,Defines the radius of the circle the vehicle will fly when in Circle flight mode
CIRCLE_RATE,20,deg/s,-90 90,"Circle mode's turn rate in deg/sec. Positive to turn clockwise, negative for counter clockwise"
COMPASS_AUTODEC,1,,0:Disabled 1:Enabled,Enable or disable the automatic calculation of the declination based on gps location
COMPASS_DEC,0.06941485,Radians,-3.142 3.142,An angle to compensate between the true north and magnetic north
COMPASS_EXTERNAL,0,,0:Internal 1:External 2:ForcedExternal,Configure compass so it is attached externally. This is auto-detected on PX4 and Pixhawk. Set to 1 if the compass is externally connected. When externally connected the COMPASS_ORIENT option operates independently of the AHRS_ORIENTATION board orientation option. If set to 0 or 1 then auto-detection by bus connection can override the value. If set to 2 then auto-detection will be disabled.
COMPASS_LEARN,0,,0:Disabled 1:Internal-Learning 2:EKF-Learning,Enable or disable the automatic learning of compass offsets. You can enable learning either using a compass-only method that is suitable only for fixed wing aircraft or using the offsets learnt by the active EKF state estimator. If this option is enabled then the learnt offsets are saved when you disarm the vehicle.
COMPASS_MOT_X,0,Offset per Amp or at Full Throttle,-1000 1000,Multiplied by the current throttle and added to the compass's x-axis values to compensate for motor interference
COMPASS_MOT_Y,0,Offset per Amp or at Full Throttle,-1000 1000,Multiplied by the current throttle and added to the compass's y-axis values to compensate for motor interference
COMPASS_MOT_Z,0,Offset per Amp or at Full Throttle,-1000 1000,Multiplied by the current throttle and added to the compass's z-axis values to compensate for motor interference
COMPASS_MOTCT,0,,0:Disabled 1:Use Throttle 2:Use Current,"Set motor interference compensation type to disabled, throttle or current. Do not change manually."
COMPASS_OFS_X,-98,milligauss,-400 400,Offset to be added to the compass x-axis values to compensate for metal in the frame
COMPASS_OFS_Y,29,milligauss,-400 400,Offset to be added to the compass y-axis values to compensate for metal in the frame
COMPASS_OFS_Z,-18,milligauss,-400 400,Offset to be added to the compass z-axis values to compensate for metal in the frame
COMPASS_ORIENT,0,,0:None 1:Yaw45 2:Yaw90 3:Yaw135 4:Yaw180 5:Yaw225 6:Yaw270 7:Yaw315 8:Roll180 9:Roll180Yaw45 10:Roll180Yaw90 11:Roll180Yaw135 12:Pitch180 13:Roll180Yaw225 14:Roll180Yaw270 15:Roll180Yaw315 16:Roll90 17:Roll90Yaw45 18:Roll90Yaw90 19:Roll90Yaw135 20:Roll270 21:Roll270Yaw45 22:Roll270Yaw90 23:Roll270Yaw136 24:Pitch90 25:Pitch270 26:Pitch180Yaw90 27:Pitch180Yaw270 28:Roll90Pitch90 29:Roll180Pitch90 30:Roll270Pitch90 31:Roll90Pitch180 32:Roll270Pitch180 33:Roll90Pitch270 34:Roll180Pitch270 35:Roll270Pitch270 36:Roll90Pitch180Yaw90 37:Roll90Yaw270 38:Yaw293Pitch68Roll90,"The orientation of the compass relative to the autopilot board. This will default to the right value for each board type, but can be changed if you have an external compass. See the documentation for your external compass for the right value. The correct orientation should give the X axis forward, the Y axis to the right and the Z axis down. So if your aircraft is pointing west it should show a positive value for the Y axis, and a value close to zero for the X axis. On a PX4 or Pixhawk with an external compass the correct value is zero if the compass is correctly oriented. NOTE: This orientation is combined with any AHRS_ORIENTATION setting."
COMPASS_USE,1,,0:Disabled 1:Enabled,Enable or disable the use of the compass (instead of the GPS) for determining heading
DCM_CHECK_THRESH,0.8,,,Coming soon
EKF_CHECK_THRESH,0.8,,,Coming soon
ESC,0,,,Coming soon
FENCE_ACTION,1,,0:Report Only 1:RTL or Land,What action should be taken when fence is breached
FENCE_ALT_MAX,100,Meters,-328443,Maximum altitude allowed before geofence triggers
FENCE_ENABLE,1,,0:Disabled 1:Enabled,Allows you to enable (1) or disable (0) the fence functionality
FENCE_MARGIN,2,Meters,43475,Distance that autopilot's should maintain from the fence to avoid a breach
FENCE_RADIUS,300,Meters,30 10000,Circle fence radius which when breached will cause an RTL
FENCE_TYPE,1,,0:None 1:Altitude 2:Circle 3:Altitude and Circle 4:Polygon 5:Altitude and Polygon 6:Circle and Polygon 7:All,Enabled fence types held as bitmask
FLOW_ENABLE,0,,0:Disabled 1:Enabled,Setting this to Enabled(1) will enable optical flow. Setting this to Disabled(0) will disable optical flow
FLTMODE1,0,,0:Stabilize 1:Acro 2:AltHold 3:Auto 4:Guided 5:Loiter 6:RTL 7:Circle 9:Land 11:Drift 13:Sport 14:Flip 15:AutoTune 16:PosHold 17:Brake 18:Throw 19:Avoid_ADSB 20:Guided_NoGPS,Flight mode when Channel 5 pwm is <= 1230
FLTMODE2,0,,0:Stabilize 1:Acro 2:AltHold 3:Auto 4:Guided 5:Loiter 6:RTL 7:Circle 9:Land 11:Drift 13:Sport 14:Flip 15:AutoTune 16:PosHold 17:Brake 18:Throw 19:Avoid_ADSB 20:Guided_NoGPS,"Flight mode when Channel 5 pwm is >1230, <= 1360"
FLTMODE3,16,,0:Stabilize 1:Acro 2:AltHold 3:Auto 4:Guided 5:Loiter 6:RTL 7:Circle 9:Land 11:Drift 13:Sport 14:Flip 15:AutoTune 16:PosHold 17:Brake 18:Throw 19:Avoid_ADSB 20:Guided_NoGPS,"Flight mode when Channel 5 pwm is >1360, <= 1490"
FLTMODE4,16,,0:Stabilize 1:Acro 2:AltHold 3:Auto 4:Guided 5:Loiter 6:RTL 7:Circle 9:Land 11:Drift 13:Sport 14:Flip 15:AutoTune 16:PosHold 17:Brake 18:Throw 19:Avoid_ADSB 20:Guided_NoGPS,"Flight mode when Channel 5 pwm is >1490, <= 1620"
FLTMODE5,6,,0:Stabilize 1:Acro 2:AltHold 3:Auto 4:Guided 5:Loiter 6:RTL 7:Circle 9:Land 11:Drift 13:Sport 14:Flip 15:AutoTune 16:PosHold 17:Brake 18:Throw 19:Avoid_ADSB 20:Guided_NoGPS,"Flight mode when Channel 5 pwm is >1620, <= 1749"
FLTMODE6,6,,0:Stabilize 1:Acro 2:AltHold 3:Auto 4:Guided 5:Loiter 6:RTL 7:Circle 9:Land 11:Drift 13:Sport 14:Flip 15:AutoTune 16:PosHold 17:Brake 18:Throw 19:Avoid_ADSB 20:Guided_NoGPS,Flight mode when Channel 5 pwm is >=1750
FRAME,1,,0:Plus 1:X 2:V 3:H 4:V-Tail 5:A-Tail 10:Y6B (New),Controls motor mixing for multicopters. Not used for Tri or Traditional Helicopters.
FS_BATT_ENABLE,0,,0:Disabled 1:Land 2:RTL,Controls whether failsafe will be invoked when battery voltage or current runs low
FS_BATT_MAH,0,mAh,,Battery capacity remaining to trigger failsafe. Set to 0 to disable battery remaining failsafe. If the battery remaining drops below this level then the copter will RTL
FS_BATT_VOLTAGE,14,Volts,,Battery voltage to trigger failsafe. Set to 0 to disable battery voltage failsafe. If the battery voltage drops below this voltage then the copter will RTL
FS_GCS_ENABLE,0,,0:Disabled 1:Enabled always RTL 2:Enabled Continue with Mission in Auto Mode,Controls whether failsafe will be invoked (and what action to take) when connection with Ground station is lost for at least 5 seconds. NB. The GCS Failsafe is only active when RC_OVERRIDE is being used to control the vehicle.
FS_GPS_ENABLE,1,,,Coming soon
FS_THR_ENABLE,1,,0:Disabled 1:Enabled always RTL 2:Enabled Continue with Mission in Auto Mode 3:Enabled always LAND,The throttle failsafe allows you to configure a software failsafe activated by a setting on the throttle input channel
FS_THR_VALUE,975,pwm,925 1100,The PWM level on channel 3 below which throttle failsafe triggers
GND_ABS_PRESS,50362.25,pascals,,calibrated ground pressure in Pascals
GND_ALT_OFFSET,0,meters,,altitude offset in meters added to barometric altitude. This is used to allow for automatic adjustment of the base barometric altitude by a ground station equipped with a barometer. The value is added to the barometric altitude read by the aircraft. It is automatically reset to 0 when the barometer is calibrated on each reboot or when a preflight calibration is performed.
GND_TEMP,29.32966,degrees celsius,,calibrated ground temperature in degrees Celsius
GPS_HDOP_GOOD,230,,100 900,GPS Hdop value at or below this value represent a good position. Used for pre-arm checks
GPS_NAVFILTER,8,,0:Portable 2:Stationary 3:Pedestrian 4:Automotive 5:Sea 6:Airborne1G 7:Airborne2G 8:Airborne4G,Navigation filter engine setting
GPS_TYPE,1,,0:None 1:AUTO 2:uBlox 3:MTK 4:MTK19 5:NMEA 6:SiRF 7:HIL 8:SwiftNav 9:PX4-UAVCAN 10:SBF 11:GSOF 12:QURT 13:ERB 14:MAV 15:NOVA,GPS type
GPSGLITCH_ACCEL,1000,,,Coming soon
GPSGLITCH_ENABLE,1,,,Coming soon
GPSGLITCH_RADIUS,200,,,Coming soon
HLD_LAT_P,1,,,Coming soon
INAV_TC_XY,2.5,,,Coming soon
INAV_TC_Z,5,,,Coming soon
INS_ACCOFFS_X,0.02704384,m/s/s,-3.5 3.5,Accelerometer offsets of X axis. This is setup using the acceleration calibration or level operations
INS_ACCOFFS_Y,0.07232188,m/s/s,-3.5 3.5,Accelerometer offsets of Y axis. This is setup using the acceleration calibration or level operations
INS_ACCOFFS_Z,-0.2916607,m/s/s,-3.5 3.5,Accelerometer offsets of Z axis. This is setup using the acceleration calibration or level operations
INS_ACCSCAL_X,0.9998162,,0.8 1.2,Accelerometer scaling of X axis. Calculated during acceleration calibration routine
INS_ACCSCAL_Y,0.9920868,,0.8 1.2,Accelerometer scaling of Y axis Calculated during acceleration calibration routine
INS_ACCSCAL_Z,1.0001,,0.8 1.2,Accelerometer scaling of Z axis Calculated during acceleration calibration routine
INS_GYROFFS_X,-0.003293759,rad/s,,Gyro sensor offsets of X axis. This is setup on each boot during gyro calibrations
INS_GYROFFS_Y,-0.07851811,rad/s,,Gyro sensor offsets of Y axis. This is setup on each boot during gyro calibrations
INS_GYROFFS_Z,0.02421099,rad/s,,Gyro sensor offsets of Z axis. This is setup on each boot during gyro calibrations
INS_MPU6K_FILTER,0,,,Coming soon
INS_PRODUCT_ID,0,,0:Unknown 1:unused 2:unused 88:unused 3:SITL 4:PX4v1 5:PX4v2 256:unused 257:Linux,Which type of IMU is installed (read-only).
LAND_REPOSITION,1,,0:No repositioning 1:Repositioning,"Enables user input during LAND mode, the landing phase of RTL, and auto mode landings."
LAND_SPEED,50,cm/s,30 200,The descent speed for the final stage of landing in cm/s
LOG_BITMASK,26622,,830:Default 894:Default+RCIN 958:Default+IMU 1854:Default+Motors -6146:NearlyAll-AC315 45054:NearlyAll 131071:All+FastATT 262142:All+MotBatt 393214:All+FastIMU 397310:All+FastIMU+PID 655358:All+FullIMU 0:Disabled,4 byte bitmap of log types to enable
LOITER_LAT_D,0,,,Coming soon
LOITER_LAT_I,0.5,,,Coming soon
LOITER_LAT_IMAX,1000,,,Coming soon
LOITER_LAT_P,1,,,Coming soon
LOITER_LON_D,0,,,Coming soon
LOITER_LON_I,0.5,,,Coming soon
LOITER_LON_IMAX,1000,,,Coming soon
LOITER_LON_P,1,,,Coming soon
MAG_ENABLE,1,,0:Disabled 1:Enabled,Setting this to Enabled(1) will enable the compass. Setting this to Disabled(0) will disable the compass
MIS_RESTART,0,,0:Resume Mission 1:Restart Mission,Controls mission starting point when entering Auto mode (either restart from beginning of mission or resume from last command run)
MIS_TOTAL,6,,0 32766,The number of mission mission items that has been loaded by the ground station. Do not change this manually.
MNT_ANGMAX_PAN,4500,Centi-Degrees,-18000 17999,Maximum physical pan (yaw) angular position of the mount
MNT_ANGMAX_ROL,4500,Centi-Degrees,-18000 17999,Maximum physical roll angular position of the mount
MNT_ANGMAX_TIL,0,Centi-Degrees,-18000 17999,Maximum physical tilt (pitch) angular position of the mount
MNT_ANGMIN_PAN,-4500,Centi-Degrees,-18000 17999,Minimum physical pan (yaw) angular position of mount.
MNT_ANGMIN_ROL,-4500,Centi-Degrees,-18000 17999,Minimum physical roll angular position of mount.
MNT_ANGMIN_TIL,-9000,Centi-Degrees,-18000 17999,Minimum physical tilt (pitch) angular position of mount.
MNT_CONTROL_X,0,,,Coming soon
MNT_CONTROL_Y,0,,,Coming soon
MNT_CONTROL_Z,0,,,Coming soon
MNT_JSTICK_SPD,0,,0 100,"0 for position control, small for low speeds, 100 for max speed. A good general value is 10 which gives a movement speed of 3 degrees per second."
MNT_MODE,3,,,Coming soon
MNT_NEUTRAL_X,0,Degrees,-180.00 179.99,Mount roll angle when in neutral position
MNT_NEUTRAL_Y,0,Degrees,-180.00 179.99,Mount tilt/pitch angle when in neutral position
MNT_NEUTRAL_Z,0,Degrees,-180.00 179.99,Mount pan/yaw angle when in neutral position
MNT_RC_IN_PAN,0,,0:Disabled 5:RC5 6:RC6 7:RC7 8:RC8 9:RC9 10:RC10 11:RC11 12:RC12,"0 for none, any other for the RC channel to be used to control pan (yaw) movements"
MNT_RC_IN_ROLL,0,,0:Disabled 5:RC5 6:RC6 7:RC7 8:RC8 9:RC9 10:RC10 11:RC11 12:RC12,"0 for none, any other for the RC channel to be used to control roll movements"
MNT_RC_IN_TILT,6,,0:Disabled 5:RC5 6:RC6 7:RC7 8:RC8 9:RC9 10:RC10 11:RC11 12:RC12,"0 for none, any other for the RC channel to be used to control tilt (pitch) movements"
MNT_RETRACT_X,0,Degrees,-180.00 179.99,Mount roll angle when in retracted position
MNT_RETRACT_Y,0,Degrees,-180.00 179.99,Mount tilt/pitch angle when in retracted position
MNT_RETRACT_Z,0,Degrees,-180.00 179.99,Mount yaw/pan angle when in retracted position
MNT_STAB_PAN,0,,0:Disabled 1:Enabled,enable pan/yaw stabilisation relative to Earth
MNT_STAB_ROLL,0,,0:Disabled 1:Enabled,enable roll stabilisation relative to Earth
MNT_STAB_TILT,0,,0:Disabled 1:Enabled,enable tilt/pitch stabilisation relative to Earth
MOT_SPIN_ARMED,90,,,Coming soon
MOT_TCRV_ENABLE,1,,,Coming soon
MOT_TCRV_MAXPCT,93,,,Coming soon
MOT_TCRV_MIDPCT,52,,,Coming soon
OF_PIT_D,0.12,,,Coming soon
OF_PIT_I,0.5,,,Coming soon
OF_PIT_IMAX,100,,,Coming soon
OF_PIT_P,2.5,,,Coming soon
OF_RLL_D,0.12,,,Coming soon
OF_RLL_I,0.5,,,Coming soon
OF_RLL_IMAX,100,,,Coming soon
OF_RLL_P,2.5,,,Coming soon
PHLD_BRAKE_ANGLE,3000,Centi-degrees,2000 4500,PosHold flight mode's max lean angle during braking in centi-degrees
PHLD_BRAKE_RATE,8,deg/sec,43567,PosHold flight mode's rotation rate during braking in deg/sec
PILOT_ACCEL_Z,250,cm/s/s,50 500,The vertical acceleration used when pilot is controlling the altitude
PILOT_VELZ_MAX,250,Centimeters/Second,50 500,The maximum vertical velocity the pilot may request in cm/s
POSCON_THR_HOVER,724,,,Coming soon
RATE_PIT_D,0.0055,,,Coming soon
RATE_PIT_I,0.07999999,,,Coming soon
RATE_PIT_IMAX,1000,,,Coming soon
RATE_PIT_P,0.07999999,,,Coming soon
RATE_RLL_D,0.003,,,Coming soon
RATE_RLL_I,0.08499999,,,Coming soon
RATE_RLL_IMAX,1000,,,Coming soon
RATE_RLL_P,0.08499999,,,Coming soon
RATE_YAW_D,0.003,,,Coming soon
RATE_YAW_I,0.02,,,Coming soon
RATE_YAW_IMAX,1000,,,Coming soon
RATE_YAW_P,0.17,,,Coming soon
RC_FEEL_RP,100,,0 1000:Very Soft 25:Soft 50:Medium 75:Crisp 100:Very Crisp,RC feel for roll/pitch which controls vehicle response to user input with 0 being extremely soft and 100 being crisp
RC_SPEED,490,Hz,50 490,This is the speed in Hertz that your ESCs will receive updates
RC1_DZ,30,pwm,0 200,dead zone around trim or bottom
RC1_MAX,1976,pwm,800 2200,"RC maximum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC1_MIN,998,pwm,800 2200,"RC minimum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC1_REV,1,,-1:Reversed 1:Normal,"Reverse servo operation. Set to 1 for normal (forward) operation. Set to -1 to reverse this channel."
RC1_TRIM,1483,pwm,800 2200,"RC trim (neutral) PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC10_DZ,0,pwm,0 200,dead zone around trim or bottom
RC10_FUNCTION,0,,0:Disabled 1:RCPassThru 2:Flap 3:Flap_auto 4:Aileron 6:mount_pan 7:mount_tilt 8:mount_roll 9:mount_open 10:camera_trigger 11:release 12:mount2_pan 13:mount2_tilt 14:mount2_roll 15:mount2_open 16:DifferentialSpoiler1 17:DifferentialSpoiler2 18:AileronWithInput 19:Elevator 20:ElevatorWithInput 21:Rudder 24:Flaperon1 25:Flaperon2 26:GroundSteering 27:Parachute 28:EPM 29:LandingGear 30:EngineRunEnable 31:HeliRSC 32:HeliTailRSC 33:Motor1 34:Motor2 35:Motor3 36:Motor4 37:Motor5 38:Motor6 39:Motor7 40:Motor8 51:RCIN1 52:RCIN2 53:RCIN3 54:RCIN4 55:RCIN5 56:RCIN6 57:RCIN7 58:RCIN8 59:RCIN9 60:RCIN10 61:RCIN11 62:RCIN12 63:RCIN13 64:RCIN14 65:RCIN15 66:RCIN16 67:Ignition 68:Choke 69:Starter 70:Throttle,Setting this to Disabled(0) will setup this output for control by auto missions or MAVLink servo set commands. any other value will enable the corresponding function
RC10_MAX,1900,pwm,800 2200,"RC maximum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC10_MIN,1100,pwm,800 2200,"RC minimum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC10_REV,1,,-1:Reversed 1:Normal,Reverse servo operation. Set to 1 for normal (forward) operation. Set to -1 to reverse this channel.
RC10_TRIM,0,pwm,800 2200,"RC trim (neutral) PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC11_DZ,0,pwm,0 200,dead zone around trim or bottom
RC11_FUNCTION,0,,0:Disabled 1:RCPassThru 2:Flap 3:Flap_auto 4:Aileron 6:mount_pan 7:mount_tilt 8:mount_roll 9:mount_open 10:camera_trigger 11:release 12:mount2_pan 13:mount2_tilt 14:mount2_roll 15:mount2_open 16:DifferentialSpoiler1 17:DifferentialSpoiler2 18:AileronWithInput 19:Elevator 20:ElevatorWithInput 21:Rudder 24:Flaperon1 25:Flaperon2 26:GroundSteering 27:Parachute 28:EPM 29:LandingGear 30:EngineRunEnable 31:HeliRSC 32:HeliTailRSC 33:Motor1 34:Motor2 35:Motor3 36:Motor4 37:Motor5 38:Motor6 39:Motor7 40:Motor8 51:RCIN1 52:RCIN2 53:RCIN3 54:RCIN4 55:RCIN5 56:RCIN6 57:RCIN7 58:RCIN8 59:RCIN9 60:RCIN10 61:RCIN11 62:RCIN12 63:RCIN13 64:RCIN14 65:RCIN15 66:RCIN16 67:Ignition 68:Choke 69:Starter 70:Throttle,Setting this to Disabled(0) will setup this output for control by auto missions or MAVLink servo set commands. any other value will enable the corresponding function
RC11_MAX,1900,pwm,800 2200,"RC maximum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC11_MIN,1100,pwm,800 2200,"RC minimum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC11_REV,1,,-1:Reversed 1:Normal,Reverse servo operation. Set to 1 for normal (forward) operation. Set to -1 to reverse this channel.
RC11_TRIM,0,pwm,800 2200,"RC trim (neutral) PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC2_DZ,30,pwm,0 200,dead zone around trim or bottom
RC2_MAX,1983,pwm,800 2200,"RC maximum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC2_MIN,996,pwm,800 2200,"RC minimum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC2_REV,1,,-1:Reversed 1:Normal,Reverse servo operation. Set to 1 for normal (forward) operation. Set to -1 to reverse this channel.
RC2_TRIM,1492,pwm,800 2200,"RC trim (neutral) PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC3_DZ,30,pwm,0 200,dead zone around trim or bottom
RC3_MAX,1982,pwm,800 2200,"RC maximum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
RC3_MIN,996,pwm,800 2200,"RC minimum PWM pulse width. Typically 1000 is lower limit, 1500 is neutral and 2000 is upper limit."
