Name,Possible Value,Unit,Range,Description
GND_TEMP,25.0,9,,Not Yet
GND_ALT_OFFSET,0.0,2,,Not Yet
GPS_TYPE,1.0,2,,Not Yet
GPS_NAVFILTER,8.0,2,,Not Yet
GPS_SBAS_MODE,2.0,2,,Not Yet
GPS_MIN_ELEV,-100.0,2,,Not Yet
GPS_GNSS_MODE,0.0,2,,Not Yet
CAM_TRIGG_TYPE,0.0,2,,Not Yet
CAM_DURATION,10.0,2,,Not Yet
CAM_SERVO_ON,1300.0,4,,Not Yet
CAM_SERVO_OFF,1100.0,4,,Not Yet
CAM_TRIGG_DIST,0.0,9,,Not Yet
ARMING_REQUIRE,1.0,2,,Not Yet
ARMING_CHECK,1.0,4,,Not Yet
ARMING_RUDDER,1.0,2,,Not Yet
RELAY_PIN,13.0,2,,Not Yet
RELAY_PIN2,-1.0,2,,Not Yet
RELAY_PIN3,-1.0,2,,Not Yet
RELAY_PIN4,-1.0,2,,Not Yet
RELAY_DEFAULT,0.0,2,,Not Yet
RNGFND_LANDING,0.0,2,,Not Yet
RC1_MIN,1100.0,4,,Not Yet
RC1_TRIM,1500.0,4,,Not Yet
RC1_MAX,1900.0,4,,Not Yet
RC1_REV,1.0,2,,Not Yet
RC1_DZ,30.0,4,,Not Yet
RC2_MIN,1100.0,4,,Not Yet
RC2_TRIM,1500.0,4,,Not Yet
RC2_MAX,1900.0,4,,Not Yet
RC2_REV,1.0,2,,Not Yet
RC2_DZ,30.0,4,,Not Yet
RC3_MIN,1100.0,4,,Not Yet
RC3_TRIM,1100.0,4,,Not Yet
RC3_MAX,1900.0,4,,Not Yet
RC3_REV,1.0,2,,Not Yet
RC3_DZ,30.0,4,,Not Yet
RC4_MIN,1100.0,4,,Not Yet
RC4_TRIM,1500.0,4,,Not Yet
RC4_MAX,1900.0,4,,Not Yet
RC4_REV,1.0,2,,Not Yet
RC4_DZ,30.0,4,,Not Yet
RC5_MIN,1100.0,4,,Not Yet
RC5_TRIM,1500.0,4,,Not Yet
RC5_MAX,1900.0,4,,Not Yet
RC5_REV,1.0,2,,Not Yet
RC5_DZ,0.0,4,,Not Yet
RC5_FUNCTION,0.0,2,,Not Yet
RC6_MIN,1100.0,4,,Not Yet
RC6_TRIM,1500.0,4,,Not Yet
RC6_MAX,1900.0,4,,Not Yet
RC6_REV,1.0,2,,Not Yet
RC6_DZ,0.0,4,,Not Yet
RC6_FUNCTION,0.0,2,,Not Yet
RC7_MIN,1100.0,4,,Not Yet
RC7_TRIM,1500.0,4,,Not Yet
RC7_MAX,1900.0,4,,Not Yet
RC7_REV,1.0,2,,Not Yet
RC7_DZ,0.0,4,,Not Yet
RC7_FUNCTION,0.0,2,,Not Yet
RC8_MIN,1100.0,4,,Not Yet
RC8_TRIM,1500.0,4,,Not Yet
RC8_MAX,1900.0,4,,Not Yet
RC8_REV,1.0,2,,Not Yet
RC8_DZ,0.0,4,,Not Yet
RC8_FUNCTION,0.0,2,,Not Yet
RC10_MIN,1100.0,4,,Not Yet
RC10_TRIM,1500.0,4,,Not Yet
RC10_MAX,1900.0,4,,Not Yet
RC10_REV,1.0,2,,Not Yet
RC10_DZ,0.0,4,,Not Yet
RC10_FUNCTION,0.0,2,,Not Yet
RC11_MIN,1100.0,4,,Not Yet
RC11_TRIM,1500.0,4,,Not Yet
RC11_MAX,1900.0,4,,Not Yet
RC11_REV,1.0,2,,Not Yet
RC11_DZ,0.0,4,,Not Yet
RC11_FUNCTION,0.0,2,,Not Yet
RLL2SRV_TCONST,0.5,9,,Not Yet
RLL2SRV_P,0.4000000059604645,9,,Not Yet
RLL2SRV_D,0.019999999552965164,9,,Not Yet
RLL2SRV_I,0.03999999910593033,9,,Not Yet
RLL2SRV_RMAX,0.0,4,,Not Yet
RLL2SRV_IMAX,3000.0,4,,Not Yet
RLL2SRV_FF,0.0,9,,Not Yet
PTCH2SRV_TCONST,0.5,9,,Not Yet
PTCH2SRV_P,0.4000000059604645,9,,Not Yet
PTCH2SRV_D,0.019999999552965164,9,,Not Yet
PTCH2SRV_I,0.03999999910593033,9,,Not Yet
PTCH2SRV_RMAX_UP,0.0,4,,Not Yet
PTCH2SRV_RMAX_DN,0.0,4,,Not Yet
PTCH2SRV_RLL,1.0,9,,Not Yet
PTCH2SRV_IMAX,3000.0,4,,Not Yet
PTCH2SRV_FF,0.0,9,,Not Yet
YAW2SRV_SLIP,0.0,9,,Not Yet
YAW2SRV_INT,0.0,9,,Not Yet
YAW2SRV_DAMP,0.0,9,,Not Yet
YAW2SRV_RLL,1.0,9,,Not Yet
YAW2SRV_IMAX,1500.0,4,,Not Yet
STEER2SRV_TCONST,0.75,9,,Not Yet
STEER2SRV_P,1.7999999523162842,9,,Not Yet
STEER2SRV_I,0.20000000298023224,9,,Not Yet
STEER2SRV_D,0.004999999888241291,9,,Not Yet
STEER2SRV_IMAX,1500.0,4,,Not Yet
STEER2SRV_MINSPD,1.0,9,,Not Yet
STEER2SRV_FF,0.0,9,,Not Yet
COMPASS_OFS_X,0.0,9,,Not Yet
COMPASS_OFS_Y,0.0,9,,Not Yet
COMPASS_OFS_Z,0.0,9,,Not Yet
COMPASS_DEC,0.06944434344768524,9,,Not Yet
COMPASS_LEARN,1.0,2,,Not Yet
COMPASS_USE,1.0,2,,Not Yet
COMPASS_AUTODEC,1.0,2,,Not Yet
COMPASS_MOTCT,0.0,2,,Not Yet
COMPASS_MOT_X,0.0,9,,Not Yet
COMPASS_MOT_Y,0.0,9,,Not Yet
COMPASS_MOT_Z,0.0,9,,Not Yet
COMPASS_ORIENT,0.0,2,,Not Yet
COMPASS_EXTERNAL,0.0,2,,Not Yet
SCHED_DEBUG,0.0,2,,Not Yet
RCMAP_ROLL,1.0,2,,Not Yet
RCMAP_PITCH,2.0,2,,Not Yet
RCMAP_THROTTLE,3.0,2,,Not Yet
RCMAP_YAW,4.0,2,,Not Yet
SR0_RAW_SENS,1.0,4,,Not Yet
SR0_EXT_STAT,1.0,4,,Not Yet
SR0_RC_CHAN,1.0,4,,Not Yet
SR0_RAW_CTRL,1.0,4,,Not Yet
SR0_POSITION,1.0,4,,Not Yet
SR0_EXTRA1,10.0,4,,Not Yet
SR0_EXTRA2,10.0,4,,Not Yet
SR0_EXTRA3,1.0,4,,Not Yet
SR0_PARAMS,10.0,4,,Not Yet
SR1_RAW_SENS,1.0,4,,Not Yet
SR1_EXT_STAT,1.0,4,,Not Yet
SR1_RC_CHAN,1.0,4,,Not Yet
SR1_RAW_CTRL,1.0,4,,Not Yet
SR1_POSITION,1.0,4,,Not Yet
SR1_EXTRA1,1.0,4,,Not Yet
SR1_EXTRA2,1.0,4,,Not Yet
SR1_EXTRA3,1.0,4,,Not Yet
SR1_PARAMS,10.0,4,,Not Yet
INS_PRODUCT_ID,88.0,4,,Not Yet
INS_GYROFFS_X,1.8091734091285616E-4,9,,Not Yet
INS_GYROFFS_Y,-0.07671958953142166,9,,Not Yet
INS_GYROFFS_Z,0.03334466367959976,9,,Not Yet
INS_ACCSCAL_X,1.0,9,,Not Yet
INS_ACCSCAL_Y,1.0,9,,Not Yet
INS_ACCSCAL_Z,1.0,9,,Not Yet
INS_ACCOFFS_X,0.0,9,,Not Yet
INS_ACCOFFS_Y,0.0,9,,Not Yet
INS_ACCOFFS_Z,0.0,9,,Not Yet
INS_GYRO_FILTER,20.0,2,,Not Yet
INS_ACCEL_FILTER,20.0,2,,Not Yet
INS_USE,1.0,2,,Not Yet
AHRS_GPS_GAIN,1.0,9,,Not Yet
AHRS_GPS_USE,1.0,2,,Not Yet
AHRS_YAW_P,0.20000000298023224,9,,Not Yet
AHRS_RP_P,0.20000000298023224,9,,Not Yet
AHRS_WIND_MAX,0.0,2,,Not Yet
AHRS_TRIM_X,0.0,9,,Not Yet
AHRS_TRIM_Y,0.0,9,,Not Yet
AHRS_TRIM_Z,0.0,9,,Not Yet
AHRS_ORIENTATION,0.0,2,,Not Yet
AHRS_COMP_BETA,0.10000000149011612,9,,Not Yet
AHRS_GPS_MINSATS,6.0,2,,Not Yet
ARSPD_ENABLE,1.0,2,,Not Yet
ARSPD_USE,0.0,2,,Not Yet
ARSPD_OFFSET,860.6829223632812,9,,Not Yet
ARSPD_RATIO,1.9936000108718872,9,,Not Yet
ARSPD_PIN,0.0,2,,Not Yet
ARSPD_AUTOCAL,0.0,2,,Not Yet
ARSPD_TUBE_ORDER,2.0,2,,Not Yet
ARSPD_SKIP_CAL,0.0,2,,Not Yet
NAVL1_PERIOD,20.0,9,,Not Yet
NAVL1_DAMPING,0.75,9,,Not Yet
TECS_CLMB_MAX,5.0,9,,Not Yet
TECS_SINK_MIN,2.0,9,,Not Yet
TECS_TIME_CONST,5.0,9,,Not Yet
TECS_THR_DAMP,0.5,9,,Not Yet
TECS_INTEG_GAIN,0.10000000149011612,9,,Not Yet
TECS_VERT_ACC,7.0,9,,Not Yet
TECS_HGT_OMEGA,3.0,9,,Not Yet
TECS_SPD_OMEGA,2.0,9,,Not Yet
TECS_RLL2THR,10.0,9,,Not Yet
TECS_SPDWEIGHT,1.0,9,,Not Yet
TECS_PTCH_DAMP,0.0,9,,Not Yet
TECS_SINK_MAX,5.0,9,,Not Yet
TECS_LAND_ARSPD,-1.0,9,,Not Yet
TECS_LAND_THR,-1.0,9,,Not Yet
TECS_LAND_SPDWGT,1.0,9,,Not Yet
TECS_PITCH_MAX,0.0,2,,Not Yet
TECS_PITCH_MIN,0.0,2,,Not Yet
TECS_LAND_SINK,0.25,9,,Not Yet
TECS_LAND_TCONST,2.0,9,,Not Yet
TECS_LAND_DAMP,0.5,9,,Not Yet
TECS_LAND_PMAX,10.0,2,,Not Yet
BATT_MONITOR,0.0,2,,Not Yet
BATT_VOLT_PIN,13.0,2,,Not Yet
BATT_CURR_PIN,12.0,2,,Not Yet
BATT_VOLT_MULT,10.100000381469727,9,,Not Yet
BATT_AMP_PERVOLT,17.0,9,,Not Yet
BATT_AMP_OFFSET,0.0,9,,Not Yet
BATT_CAPACITY,3300.0,6,,Not Yet
BATT2_MONITOR,0.0,2,,Not Yet
BATT2_VOLT_PIN,13.0,2,,Not Yet
BATT2_CURR_PIN,12.0,2,,Not Yet
BATT2_VOLT_MULT,10.100000381469727,9,,Not Yet
BATT2_AMP_PERVOL,17.0,9,,Not Yet
BATT2_AMP_OFFSET,0.0,9,,Not Yet
BATT2_CAPACITY,3300.0,6,,Not Yet
BRD_SERIAL_NUM,0.0,4,,Not Yet
MIS_TOTAL,,0 32766,,The number of mission mission items that has been loaded by the ground station. Do not change this manually.
MIS_RESTART,0,2,,0:Resume Mission 1:Restart Mission,Controls mission starting point when entering Auto mode (either restart from beginning of mission or resume from last command run)
RALLY_TOTAL,0.0,2,,Not Yet
RALLY_LIMIT_KM,5.0,9,,Not Yet
RALLY_INCL_HOME,0.0,2,,Not Yet
COMPASS_DEC,0.06944434344768524,Radians,-3.142 3.142,An angle to compensate between the true north and magnetic north
